,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
87,"Dubendorf, Zurich",Moderate,14.2,4,40,29,NULL,NULL
88,"Giubiasco, Ticino",Moderate,14,15,55,11,NULL,NULL
89,"Pregassona, Ticino",Moderate,15,17,9,11,NULL,NULL
90,"Messini, Peloponnese",Moderate,35.4,NULL,NULL,NULL,NULL,NULL
91,"Meligalas, Peloponnese",Moderate,34.4,NULL,NULL,NULL,NULL,NULL
92,"Ioannina, Epirus",Moderate,20.4,NULL,NULL,NULL,NULL,NULL
93,"Orestiada, East Macedonia and Thrace",Moderate,15.1,NULL,NULL,NULL,NULL,NULL
94,"Alexandroupoli, East Macedonia and Thrace",Moderate,13,NULL,NULL,NULL,NULL,NULL
95,"Anatoli, Epirus",Good,12.1,NULL,NULL,NULL,NULL,NULL
96,"Souroti, Central Macedonia",Good,10.7,NULL,NULL,NULL,NULL,NULL
97,"Xanthi, East Macedonia and Thrace",Good,9.9,NULL,NULL,NULL,NULL,NULL
98,"Thermi, Central Macedonia",Good,9.1,NULL,NULL,NULL,NULL,NULL
99,"Kardia, Central Macedonia",Good,8.6,NULL,NULL,NULL,NULL,NULL
100,"Santos, Sao Paulo",Good,21,27,1.5,35,1,NULL
101,"Guarulhos, Sao Paulo",Moderate,14.5,23.5,22,20,1,458
102,"Santa Branca, Sao Paulo",Good,9.1,NULL,NULL,NULL,NULL,NULL
103,"Sao Caetano do Sul, Sao Paulo",Good,12,28,30,13,1,NULL
104,"Taubate, Sao Paulo",Good,10,16,NULL,6,NULL,NULL
105,"Jundiai, Sao Paulo",Good,12,21,27,21,NULL,NULL
106,"Sao Jose dos Campos, Sao Paulo",Good,8,49,12,44,1,343.5
107,"Maua, Sao Paulo",Good,10,34,19,14,1,NULL
108,"Osasco, Sao Paulo",Moderate,13,24,NULL,30,2,916
109,"Sao Paulo, Sao Paulo",Good,6,12,26,16,NULL,229
110,"Kansk, Krasnoyarsk Krai",Unhealthy,60,NULL,NULL,NULL,NULL,NULL
111,"Zyryanka, Chukot",Unhealthy For Sensitive Groups,46,NULL,NULL,NULL,NULL,NULL
112,"Solnechnyy, Krasnoyarsk Krai",Unhealthy For Sensitive Groups,40,NULL,NULL,70,35,80
113,"Balashikha, Moscow Oblast",Moderate,25.1,NULL,NULL,NULL,NULL,NULL
114,"Moscow, Moscow",Moderate,15,17,2,55,3.3,470
115,"Berezovka, Krasnoyarsk Krai",Good,20,NULL,NULL,180,40,60
116,"Kamensk-Shakhtinskiy, Rostov",Moderate,16.1,NULL,NULL,NULL,NULL,NULL
117,"Magnitogorsk, Chelyabinsk",Moderate,14.5,NULL,NULL,NULL,NULL,NULL
118,"Setun', Moscow",Moderate,18,21,NULL,NULL,NULL,630
119,"Krasnaya Pahra, Moscow",Good,10,3,NULL,56.1,5.9,NULL
120,"Cavite City, Calabarzon",Unhealthy For Sensitive Groups,40.3,NULL,NULL,NULL,NULL,NULL
121,"Paranaque, National Capital Region",Unhealthy For Sensitive Groups,36.9,NULL,NULL,NULL,NULL,NULL
122,"Pasig, National Capital Region",Moderate,22.5,NULL,NULL,NULL,NULL,NULL
123,"Balanga, Central Luzon",Moderate,15.9,NULL,NULL,NULL,NULL,NULL
124,"Makati, National Capital Region",Moderate,15.4,NULL,NULL,NULL,NULL,NULL
125,"Bulacan, Central Luzon",Moderate,13.1,NULL,NULL,NULL,NULL,NULL
126,"Puerto Princesa, Mimaropa",Moderate,13,21,NULL,NULL,NULL,NULL
127,"Pasig City, National Capital Region",Good,9,NULL,NULL,NULL,NULL,NULL
128,"Davao City, Davao",Good,8.5,9.9,NULL,7.9,NULL,NULL
129,"San Juan, National Capital Region",Good,7.4,NULL,NULL,NULL,NULL,NULL
130,"Yangon, Yangon",Unhealthy For Sensitive Groups,52.6,NULL,2,NULL,NULL,NULL
131,"Mandalay, Mandalay",Unhealthy For Sensitive Groups,44.8,NULL,NULL,NULL,NULL,NULL
132,"Syriam, Yangon",Unhealthy For Sensitive Groups,39.1,NULL,NULL,NULL,NULL,NULL
133,"Vientiane, Vientiane",Unhealthy For Sensitive Groups,46.6,NULL,NULL,NULL,NULL,NULL
134,"Imperial Beach, California",Unhealthy,70.4,NULL,NULL,NULL,NULL,NULL
135,"Midway, Pennsylvania",Unhealthy,56.7,NULL,NULL,NULL,NULL,NULL
136,"Roseville, Minnesota",Unhealthy,58.2,NULL,NULL,NULL,NULL,NULL
137,"Blaine, Minnesota",Unhealthy For Sensitive Groups,36.3,NULL,NULL,NULL,NULL,NULL
138,"Cambria, California",Unhealthy For Sensitive Groups,54,NULL,NULL,NULL,NULL,NULL
139,"Matheny, California",Unhealthy For Sensitive Groups,53.8,NULL,NULL,NULL,NULL,NULL
140,"Albemarle, North Carolina",Unhealthy For Sensitive Groups,53.4,NULL,NULL,NULL,NULL,NULL
141,"Happy Camp, California",Unhealthy For Sensitive Groups,52.4,NULL,NULL,NULL,NULL,NULL
142,"New Auburn, Wisconsin",Unhealthy For Sensitive Groups,51.5,NULL,NULL,NULL,NULL,NULL
143,"Bakersfield, California",Unhealthy For Sensitive Groups,51,NULL,6,86.5,NULL,NULL
144,"Lovech, Lovech",Moderate,17,21.3,NULL,NULL,NULL,NULL
145,"Nesebar, Burgas",Moderate,17,22.1,NULL,16.3,0,NULL
146,"Oriyakovica, Veliko Tarnovo",Moderate,17,22.6,28.9,13.3,8.4,NULL
147,"Vratsa, Vratsa",Moderate,17,22.4,47.7,6.1,NULL,0
148,"Dobrich, Dobrich",Moderate,16,20.6,NULL,NULL,NULL,NULL
149,"Shumen, Shumen",Moderate,16,19.5,56.6,4.1,4,NULL
150,"Devnya, Varna",Moderate,15,18.3,49.4,3.7,NULL,0
151,"Ruse, Ruse",Moderate,14.9,14.2,40.3,4.8,NULL,0
152,"Vidin, Vidin",Moderate,14,17.1,NULL,NULL,NULL,NULL
153,"Kardzhali, Kardzhali",Good,12,15,NULL,NULL,NULL,NULL
154,"Pekan, Pahang",Moderate,30.2,NULL,NULL,NULL,NULL,NULL
155,"Klang, Selangor",Moderate,28.9,NULL,NULL,NULL,NULL,NULL
156,"Tanah Merah, Kelantan",Moderate,28.9,NULL,NULL,NULL,NULL,NULL
157,"Balok, Pahang",Moderate,26.3,NULL,NULL,NULL,NULL,NULL
158,"Kuala Terengganu, Terengganu",Moderate,26.3,NULL,NULL,NULL,NULL,NULL
159,"Kuala Selangor, Selangor",Moderate,23.7,NULL,NULL,NULL,NULL,NULL
160,"Chukai, Terengganu",Moderate,22.5,NULL,NULL,NULL,NULL,NULL
161,"Johor Bahru, Johor",Moderate,22.5,NULL,NULL,NULL,NULL,NULL
162,"Kota Bharu, Kelantan",Moderate,21.2,NULL,NULL,NULL,NULL,NULL
163,"Petaling Jaya, Selangor",Moderate,21.2,NULL,NULL,NULL,NULL,NULL
164,"Carabayllo, Lima",Moderate,20.9,5,3.1,NULL,3.6,1
165,"San Juan de Lurigancho, Lima",Moderate,16,NULL,4.5,NULL,9.4,1
166,"Lima, Lima",Good,11.5,14.8,NULL,NULL,NULL,2
167,"Trujillo, La Libertad",Good,9.7,NULL,NULL,NULL,NULL,NULL
168,"Cusco, Cusco",Good,8.2,NULL,NULL,NULL,NULL,NULL
169,"HUACHIPA, Lima",Good,NULL,NULL,NULL,7.1,51.3,57.5
170,"Puerto Maldonado, Madre de Dios",Good,5.7,NULL,NULL,NULL,NULL,NULL
171,"El Tambo, Junin",Good,4.2,NULL,NULL,NULL,NULL,NULL
172,"Santa Anita, Lima",Good,NULL,NULL,NULL,96.7,17.3,NULL
173,"Chupaca, Junin",Good,3.1,NULL,NULL,NULL,NULL,NULL
174,"Novi Pazar, Central serb",Unhealthy,81,81.4,NULL,46.4,11.1,NULL
175,"Valjevo, Central Serbia",Unhealthy For Sensitive Groups,47.9,48.2,NULL,25.4,32,NULL
176,"Uzice, Central Serbia",Moderate,31.8,32.1,NULL,2.2,12,NULL
177,"Cacak, Central Serbia",Moderate,23,NULL,NULL,5.7,NULL,NULL
178,"Lipe, Central Serbia",Moderate,19.8,NULL,NULL,NULL,NULL,NULL
179,"Nis, Central Serbia",Moderate,19.9,18.9,46.4,7.6,14.1,NULL
180,"Kragujevac, Central Serbia",Moderate,19.3,NULL,NULL,26,NULL,NULL
181,"Gornji Milanovac, Central serb",Moderate,16,NULL,NULL,NULL,NULL,NULL
182,"Paracin, Central serb",Moderate,14.6,14.8,17.9,7.7,4.7,NULL
183,"Bor, Central Serbia",Moderate,14,15.6,NULL,NULL,25.4,NULL
184,"Hnusta, Banska Bystrica",Unhealthy For Sensitive Groups,38,45,NULL,NULL,NULL,NULL
185,"Novaky, Nitra",Moderate,27,16,NULL,NULL,1,NULL
186,"Jelsava, Banska Bystrica",Moderate,23,29,5,12.7,NULL,NULL
187,"Martin, Zilina",Moderate,19,11,NULL,NULL,NULL,NULL
188,"Prievidza, Trencin",Moderate,18,17,NULL,NULL,NULL,NULL
189,"Kosice, Kosice",Moderate,17,15.5,4,NULL,2,291
190,"Moldava nad Bodvou, Kosice",Moderate,16.5,17.6,NULL,NULL,NULL,NULL
191,"Nad Jazerom, Kosice",Moderate,15,14,NULL,NULL,NULL,NULL
192,"Handlova, Trencin",Moderate,14,8,NULL,NULL,NULL,NULL
193,"Nitra, Nitra",Moderate,14,14,NULL,12,NULL,NULL
194,"Rivas-Vaciamadrid, Madrid",Unhealthy,84,119,4,94,NULL,NULL
195,"Getafe, Madrid",Unhealthy,71,85,2,135,NULL,NULL
196,"Valdemoro, Madrid",Unhealthy,62,NULL,2,1,NULL,NULL
197,"Torrejon de Ardoz, Madrid",Unhealthy,60,69,5,90,NULL,NULL
198,"Leganés, Madrid",Unhealthy,58,70,1,115,NULL,NULL
199,"Coslada, Madrid",Unhealthy For Sensitive Groups,54,53,1,78,NULL,NULL
200,"Medina del Campo, Castille and Leon",Unhealthy For Sensitive Groups,53,66,3,17,NULL,NULL
201,"Villa del Prado, Madrid",Unhealthy For Sensitive Groups,53,67,3,34,1,0
202,"Toledo, Castilla-La Mancha",Unhealthy For Sensitive Groups,47,70,2,60,2,NULL
203,"Ogijares, Andalucia",Unhealthy For Sensitive Groups,46,67.2,4,34,3,0
204,"Fiq, Quneitra",Moderate,16,NULL,NULL,NULL,NULL,NULL
205,"Arwad, Tartus",Good,1.4,32,NULL,4,0,NULL
